Path, URL, Size in bytes (optional but recommended), MD5 Hash (optional but recommended), Filter Terms (optional), Overwrite (optional), Comments (optional)
games/Astrocade/boot.rom, https://archive.org/download/mister_bios_pack/Astrocade.zip/Bally%20Professional%20Arcade%2C%20Astrocade%20%273159%27%20BIOS%20%281978%29%28Bally%20Mfg.%20Corp.%29.bin, 8192, 7d25a26e5c4841b364cfe6b1735eaf03, bios, overwrite:false,
games/AtariLynx/boot.rom, https://archive.org/download/mister_bios_pack/AtariLynx.zip/boot.rom, 512, fcd403db69f54290b51035d82f835e7b, bios, overwrite:false,
games/COCO3/boot0.rom, https://archive.org/download/mister_bios_pack/CoCo3.zip/boot0.rom, 32768, 7233c6c429f3ce1c7392f28a933e0b6f, bios, overwrite:false,
games/COCO3/boot1.rom, https://archive.org/download/mister_bios_pack/CoCo3.zip/boot1.rom, 8192, 8cab28f4b7311b8df63c07bb3b59bfd5, bios, overwrite:false,
games/COCO3/boot2.rom, https://archive.org/download/mister_bios_pack/CoCo3.zip/boot2.rom, 8192, 171fb7a5d3b808565295b45c773abaaf, bios, overwrite:false,
games/Casio_PV-2000/boot0.rom, https://archive.org/download/mister_bios_pack/Casio_PV-2000.zip/hn613128pc64.bin, 16384, 558540c5c6f776d88a897f2f3b8fec8f, bios, overwrite:false,
games/CreatiVision/boot.rom, https://archive.org/download/mister_bios_pack/CreatiVision.zip/Laser_2001_Bootrom.rom, 16384, 4dfadfb1158f84e2df2b85b13f303986, bios, overwrite:false,
games/GAMEBOY/boot1.rom, https://archive.org/download/mister_bios_pack/Gameboy.zip/GBC_boot_ROM.gb, 2304, dbfce9db9deaa2567f6a84fde55f9680, bios, overwrite:false,
games/GBA/boot.rom, https://archive.org/download/mister_bios_pack/GBA.zip/gba_bios.bin, 16384, a860e8c0b6d573d191e4ec7db1b1e4f6, bios, overwrite:false,
games/Gamate/boot.rom, https://archive.org/download/mister_bios_pack/Gamate.zip/Gamate/gamate_boot.rom, , , bios, overwrite:false,
games/Intellivision/boot0.rom, https://archive.org/download/mister_bios_pack/Intellivision.zip/Executive%20ROM%2C%20The%20%281978%29%28Mattel%29.bin, 8192, 62e761035cb657903761800f4437b8af, bios, overwrite:false,
games/Intellivision/boot1.rom, https://archive.org/download/mister_bios_pack/Intellivision.zip/GROM%2C%20The%20%281978%29%28General%20Instruments%29.bin, 2048, 0cd5946c6473e42e8e4c2137785e427f, bios, overwrite:false,
games/Intellivision/boot2.rom, https://archive.org/download/mister_bios_pack/Intellivision.zip/IntelliVoice%20BIOS%20%281981%29%28Mattel%29.bin, 2048, d5530f74681ec6e0f282dab42e6b1c5f, bios, overwrite:false,
games/Intellivision/boot3.rom, https://archive.org/download/mister_bios_pack/Intellivision.zip/Entertainment%20Computer%20System%27s%20EXEC-BASIC%20ROM%2C%20The%20%281978%29%28Mattel%29.bin, 24576, 2e72a9a2b897d330a35c8b07a6146c52, bios, overwrite:false,
games/Interact/boot.rom, https://archive.org/download/mister_bios_pack/Interact.zip/Interact_ROM.bin, 2048, aa9fb0e9697a009dfb9d876351dd8f48, bios, overwrite:false,
games/MSX1/boot.rom, https://archive.org/download/mister_bios_pack/MSX1.zip/vg8020_basic-bios1.rom, 32768, a0452dbf5ace7d2e49d0a8029efed09a, bios, overwrite:false,
games/MegaCD/Europe/cd_bios.rom, https://archive.org/download/mister_bios_pack/MegaCD.zip/%5BBIOS%5D%20Mega-CD%202%20%28Europe%29%20%28v2.00%29.md, 131072, 9b562ebf2d095bf1dabadbc1881f519a, bios, overwrite:false,
games/MegaCD/Japan/cd_bios.rom, https://archive.org/download/mister_bios_pack/MegaCD.zip/%5BBIOS%5D%20Mega-CD%202%20%28Japan%29%20%28v2.00C%29.md, 131072, 683a8a9e273662561172468dfa2858eb, bios, overwrite:false,
games/MegaCD/USA/cd_bios.rom, https://archive.org/download/mister_bios_pack/MegaCD.zip/%5BBIOS%5D%20Sega%20CD%202%20%28USA%29%20%28v2.00%29.md, 131072, 310a9081d2edf2d316ab38813136725e, bios, overwrite:false,
games/MegaCD/boot.rom, https://archive.org/download/mister_bios_pack/MegaCD.zip/US%20Sega%20CD%202%20%28Region%20Free%29%20930601%20l_oliveira.bin, 131072, 14db9657bbaa6fbb9249752424dc0ce4, bios, overwrite:false,
games/N64/boot.rom, https://archive.org/download/bios-nintendo-64-pif-japan-usa/%5BBIOS%5D%20Nintendo%2064%20-%20PIF%20%28Japan%2C%20USA%29.bin, 1984, 5C124E7948ADA85DA603A522782940D0, bios, overwrite:false,
games/N64/boot1.rom, https://archive.org/download/bios-nintendo-64-pif-japan-usa/%5BBIOS%5D%20Nintendo%2064%20-%20PIF%20%28Europe%29.bin, 1984, D4232DC935CAD0650AC2664D52281F3A, bios, overwrite:false,
games/NEOGEO/000-lo.lo, https://archive.org/download/mister_bios_pack/NeoGeo.zip/000-lo.lo, 131072, fc7599f3f871578fe9a0453662d1c966, bios, overwrite:false,
games/NEOGEO/neo-epo.sp1, https://archive.org/download/mister_bios_pack/NeoGeo.zip/neo-epo.sp1-AES_BIOS, 131072, b11751ad42879c461d64ad2b7b2b0129, bios, overwrite:false,
games/NEOGEO/sfix.sfix, https://archive.org/download/mister_bios_pack/NeoGeo.zip/sfix.sfix, 131072, aa2b5d0eae4158ffc0d7d63481c7830b, bios, overwrite:false,
games/NEOGEO/sp-s2.sp1, https://archive.org/download/mister_bios_pack/NeoGeo.zip/sp-s2.sp1-MVS_BIOS, 131072, 2968f59f44bf328639aa79391aeeeab4, bios, overwrite:false,
games/NeoGeo-CD/top-sp1.bin, https://archive.org/download/mister_bios_pack/NeoGeoCD.zip/top-sp1.bin, 524288, 122aee210324c72e8a11116e6ef9c0d0, bios, overwrite:false,
games/NeoGeo-CD/neocd.bin, https://archive.org/download/mister_bios_pack/NeoGeoCD.zip/neocd.bin, 524288, f39572af7584cb5b3f70ae8cc848aba2, bios, overwrite:false,
games/NES/boot0.rom, https://archive.org/download/mister_bios_pack/NES.zip/fds-bios.rom, 8192, ca30b50f880eb660a320674ed365ef7a, bios, overwrite:false,
games/PC8801/boot.rom, https://archive.org/download/mister_bios_pack/PC88.zip/PC8801%20MKII%20SR%20BIOS.rom, 393216, f1ce4d5f83717093982e5f75516b8f3c, bios, overwrite:false,
games/PSX/boot.rom, https://archive.org/download/mister_bios_pack/PSX.zip/SCPH7001.BIN, 524288, 1e68c231d0896b7eadcad1d7d8e76129, bios, overwrite:false,
games/PSX/boot1.rom, https://archive.org/download/mister_bios_pack/PSX.zip/SCPH7000.BIN, 524288, 8e4c14f567745eff2f0408c8129f72a6, bios, overwrite:false,
games/PSX/boot2.rom, https://archive.org/download/mister_bios_pack/PSX.zip/SCPH7002.BIN, 524288, b9d9a0286c33dc6b7237bb13cd46fdee, bios, overwrite:false,
games/PSX/sbi.zip, https://archive.org/download/mister_bios_pack/PSX.zip/sbi.zip, 218953, 706d60ab2dfdbfdd53be2069cb85a1fe, bios, overwrite:false,
games/Saturn/boot.rom, https://ia600809.us.archive.org/16/items/saturn-bios_202503/Bios%20GameNavi%20HiSaturn%201.03.bin, 524288, 0306c0e408d6682dd2d86324bd4ac661, bios, overwrite:false,
games/SGB/Super Game Boy 2.sfc, https://archive.org/download/mister_bios_pack/SGB.zip/SGB2.sfc, 524288, 8ecd73eb4edf7ed7e81aef1be80031d5, bios,,
games/SGB/Super Game Boy.sfc, https://archive.org/download/mister_bios_pack/SGB.zip/SGB1.sfc, 262144, b15ddb15721c657d82c5bab6db982ee9, bios,,
games/SNES/bsx_bios.rom, https://archive.org/download/mister_bios_pack/SNES.zip/BS-X%20BIOS%20%28English%29%20%5BNo%20DRM%5D%20%5B2016%20v1.3%5D.sfc, 1048576, 96cf17bf589fcbfa6f8de2dc84f19fa2, bios, overwrite:false,
games/TGFX16-CD/cd_bios.rom, https://archive.org/download/mister_bios_pack/TurboGrafx16.zip/TurboGrafx16/Super%20CD%203.1.pce, 262144, 98d43a097a165b03df170fd5c2ad2c2f, bios, overwrite:false,
games/WonderSwan/boot.rom, https://archive.org/download/mister_bios_pack/WonderSwan.zip/boot.rom, 4096, 54b915694731cc22e07d3fb8a00ee2db, bios, overwrite:false,
games/WonderSwan/boot1.rom, https://archive.org/download/mister_bios_pack/WonderSwan.zip/boot1.rom, 8192, 880893bd5a7d53fff826bd76a83d566e, bios, overwrite:false,
